_id	name	type	category	subcategory	derived_type	guessed_type
68109e5ececd66abf4727fd8	ANIMAL PAK 44 SCOOPS POWDER		COMPLÉMENTS ALIMENTAIRES	Mineraux		Powder
68109e5ececd66abf4727fd9	THE RIPPER 150 G JNX SPORTS		PERTE DE POIDS	Brûleurs de Graisse		Powder
68109e5ececd66abf4727fda	THE CURSE SKULL SHAKER – 700ML		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Shakers et Bouteilles Sportives	Accessory	Accessory
68109e5ececd66abf4727fdb	LIFTING STRAPS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Bandes de Soutien Musculaire	Accessory	
68109e5ececd66abf4727fdc	THE OMEN FAT BURNER – 100CAPS		PERTE DE POIDS	Fat Burner	Capsule	Capsule
68109e5ececd66abf4727fdd	SMART SHAKER		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Shakers et Bouteilles Sportives	Accessory	Accessory
68109e5ececd66abf4727fde	C4 ENERGY DRINK		COMPLÉMENTS D'ENTRAÎNEMENT	Pré-workout	Powder	
68109e5ececd66abf4727fdf	BONDE GENOUX		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Bandes de Soutien Musculaire	Accessory	
68109e5ececd66abf4727fe0	MONSTER ENERGY DRINK		COMPLÉMENTS D'ENTRAÎNEMENT	Pré-workout	Powder	
68109e5ececd66abf4727fe1	ANIMAL PAK - 30 PACKS		COMPLÉMENTS ALIMENTAIRES	Mineraux		Pack
68109e5ececd66abf4727fe2	HYDRA BCAA + 309 G		COMPLÉMENTS ALIMENTAIRES	Bcaa	Powder	Powder
68109e5ececd66abf4727fe3	NATURAL STEROL 100 TABLETS		COMPLÉMENTS ALIMENTAIRES	Boosters Hormonaux		Tablet
68109e5ececd66abf4727fe4	AMINO TARGET XPLODE 275 G		COMPLÉMENTS ALIMENTAIRES	Acides Aminés		Powder
68109e5ececd66abf4727fe5	AMINO EAA 300 G		COMPLÉMENTS ALIMENTAIRES	EAA	Powder	Powder
68109e5ececd66abf4727fe6	AMINO EAA ULTRA SPEED 300 G		COMPLÉMENTS ALIMENTAIRES	EAA	Powder	Powder
68109e5ececd66abf4727fe7	BETA-ALANINE POWDER 180G		COMPLÉMENTS ALIMENTAIRES	Beta alanine	Powder	Powder
68109e5ececd66abf4727fe8	CITRULLINE SYNERGY - 240 G		COMPLÉMENTS ALIMENTAIRES	Citrulline	Powder	Powder
68109e5ececd66abf4727fe9	CARBO ONE - 1 KG		PRISE DE MASSE	Carbohydrates	Powder	Powder
68109e5ececd66abf4727fea	CARBO 1KG - OSTROVIT		PRISE DE MASSE	Carbohydrates	Powder	Powder
68109e5ececd66abf4727feb	ANIMAL OMEGA – 30PACKS		COMPLÉMENTS ALIMENTAIRES	Omega 3	Capsule	Pack
68109e5ececd66abf4727fec	VITAMIN C 1000 90CAPS		COMPLÉMENTS ALIMENTAIRES	Vitamines	Capsule	Capsule
68109e5ececd66abf4727fed	CREATINE MONOHYDRATE 300G - ULTIMATE NUTRITION		COMPLÉMENTS ALIMENTAIRES	Créatine	Powder	Powder
68109e5ececd66abf4727fee	Collagen + Vitamin C 400g		COMPLÉMENTS ALIMENTAIRES	Collagene		Powder
68109e5ececd66abf4727fef	LIPO 6 BLACK INTENSE – 60CAPS		PERTE DE POIDS	Fat Burner	Capsule	Capsule
68109e5ececd66abf4727ff0	OPTI-MEN - 150TABS		COMPLÉMENTS ALIMENTAIRES	Vitamines	Capsule	Tablet
68109e5ececd66abf4727ff1	OPTI-MEN - 90TABS		COMPLÉMENTS ALIMENTAIRES	Vitamines	Capsule	Tablet
68109e5ececd66abf4727ff2	OPTI-WOMEN – 60CAPS		COMPLÉMENTS ALIMENTAIRES	Vitamines	Capsule	Capsule
68109e5ececd66abf4727ff3	OPTI-WOMEN – 120CAPS		COMPLÉMENTS ALIMENTAIRES	Vitamines	Capsule	Capsule
68109e5ececd66abf4727ff4	ARGININE & PYROGLUTAMATE & LYSINE – 100CAPS		COMPLÉMENTS ALIMENTAIRES	L-arginine		Capsule
68109e5ececd66abf4727ff5	PROSTAR® 100% CASEIN PROTEIN – 907G		PROTÉINES	Protéine de Caséine	Powder	Powder
68109e5ececd66abf4727ff6	ANIMAL WHEY ISOLATE LOADED – 2.27KG		PROTÉINES	Protéine Whey	Powder	Powder
68109e5ececd66abf4727ff7	GOLD STANDARD GAINER – 4.6KG		PRISE DE MASSE	Gainers Riches en Protéines	Powder	Powder
